amm_trade,attacker_signer,back_running,fat_sandwich,front_running,sandwich,validator,sandwich_complete,cost_sol,profit_sol,net_profit_sol,confidence,classification
BisonFi,YubQzu18FDqJRyNfG8JqHmsdbxhnoQqcKUHBdUkN6tP,0,456,0,7,CiR8HNCfkjtcongPmP2DRdZPnFgjSbN5gsXdjmsXXHcB,231,0.231,2.31,2.079,high,FAT_SANDWICH
BisonFi,C2bK8HFrL71aLnpyExVoJmqjDPA9tbLMXcBNAkRQnLfQ,0,181,0,5,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,92,0.092,0.92,0.8280000000000001,high,FAT_SANDWICH
BisonFi,4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,0,127,0,2,9n1eEtJJfj1535NYfx524QcCG5aHbf5DH7ejqBrFLBwG,64,0.064,0.64,0.5760000000000001,high,FAT_SANDWICH
BisonFi,foxMFk9faHggM4HWQWETCPSDvMbWx8LSv4c9CrkmBx6,0,110,0,0,DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,55,0.055,0.55,0.495,high,FAT_SANDWICH
BisonFi,DkV8QZdg5GH7Bb5NteLJVYCF2mwBSCFt7AcTnmVvTfeW,0,95,0,2,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,48,0.048,0.48,0.432,high,FAT_SANDWICH
BisonFi,CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,0,91,0,1,9n1eEtJJfj1535NYfx524QcCG5aHbf5DH7ejqBrFLBwG,45,0.045,0.45,0.405,high,FAT_SANDWICH
BisonFi,J8hVkBNKobntWqLspa3yhXEkvb8vZ9S9NiHgirN9yvV3,0,73,0,1,Bs19Z9SokV1s46jutN9tqqaCgYf1GsVyyytVfkzwn9qK,36,0.036,0.36,0.3239999999999999,high,FAT_SANDWICH
BisonFi,han5oo9sy98473nuWU7PwkdgpJVFvQEQ14S5CCdbeYQ,0,70,0,0,CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,35,0.035,0.35,0.315,high,FAT_SANDWICH
BisonFi,2dRR9CaNrEsHm3UqZacEf8AoDuDx4NGQyMhGxG71NzkN,0,68,0,0,ABC1U4cf9DZMwqy8ktEr4WJj8VHmVBQibbC57gEJthwY,34,0.034,0.34,0.306,high,FAT_SANDWICH
BisonFi,9TXFVx8N9dPneS3ETRt8KWtUXLRUsz6j6JM3bEXqkR3Z,0,65,0,0,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,32,0.032,0.32,0.288,medium,FAT_SANDWICH
GoonFi,TAPNDP5dFr9Vp47DFuddRxNVYmjUqgh8boiUrWFgMqi,0,188,0,0,ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,94,0.094,0.94,0.8460000000000001,high,FAT_SANDWICH
GoonFi,FbgR9632h4rvPciZzCHRGNrEaQM9bC2cGgAikJ8HUfS1,0,125,0,20,EUcJwf7jXskRE6NZBtFPVH2EedNvNYko8LL2WT62XctB,72,0.072,0.72,0.6479999999999999,high,FAT_SANDWICH
GoonFi,E2MPTDnFPNiCRmbJGKYSYew48NWRGVNfHjoiibFP5VL2,0,101,0,2,BkoS26vBuaXnSowACdChi4WKid8UwmuPNhEJWa8KsLHd,51,0.051,0.51,0.459,high,FAT_SANDWICH
GoonFi,EJdrWPg32qHnmc3cwgGRfTrvWpQkDH2vHNGsane6WFGd,0,87,0,11,4SgoyAwN26iu9Gpf12Bk1rnzp4G4yDUM3XVv4w7VQcAf,48,0.048,0.48,0.432,high,FAT_SANDWICH
GoonFi,J1CMrMaFHJmG97R7xJYrJxRA3MNt7VyHe8CAEUnsQzre,0,82,0,2,BkoS26vBuaXnSowACdChi4WKid8UwmuPNhEJWa8KsLHd,42,0.042,0.42,0.378,high,FAT_SANDWICH
GoonFi,YubQzu18FDqJRyNfG8JqHmsdbxhnoQqcKUHBdUkN6tP,0,68,0,4,2gDeeRa3mwPPtw1CMWPkEhRWo9v5izNBBfEXanr8uibX,36,0.036,0.36,0.3239999999999999,high,FAT_SANDWICH
GoonFi,3xb1APhYyenJhoq6Kpjetps9rsmS8kJAGhXVBHaDyWmL,0,70,0,1,GiYSnFRrXrmkJMC54A1j3K4xT6ZMfx1NSThEe5X2WpDe,35,0.035,0.35,0.315,high,FAT_SANDWICH
GoonFi,GraZ9wjJVEGMQsyz3BwkkRdkJFmDrZw6Bnj3yzciwFEC,0,45,0,2,43Am3PKFeo9cACpqYL5Sk95rpVdxLw3Mc22PqRqZXEW2,23,0.023,0.23,0.207,high,FAT_SANDWICH
GoonFi,AE861PyrYJXm2TuxiMc8Ecwo4YYgAHfcYum3GWpSRFe3,0,44,0,2,BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,23,0.023,0.23,0.207,high,FAT_SANDWICH
GoonFi,4i3kFLZuutG5fvjg5wvq15n4NPpj12wXCRMyP7TcZbNj,0,37,0,2,E1r4Psq84tHfQ6aPTvvDka4U3u8zPVD7gEUrH25RdxHL,19,0.019,0.19,0.171,high,FAT_SANDWICH
HumidiFi,YubQzu18FDqJRyNfG8JqHmsdbxhnoQqcKUHBdUkN6tP,0,2888,0,160,22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU,1524,1.524,15.24,13.716,high,FAT_SANDWICH
HumidiFi,YubVwWeg1vHFr17Q7HQQETcke7sFvMabqU8wbv8NXQW,0,1019,0,63,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,540,0.54,5.4,4.86,high,FAT_SANDWICH
HumidiFi,AEB9dXBoxkrapNd59Kg29JefMMf3M1WLcNA12XjKSf4R,0,864,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,432,0.432,4.32,3.888,high,FAT_SANDWICH
HumidiFi,YubozzSnKomEnH3pkmYsdatUUwUTcm7s4mHJVmefEWj,0,632,0,17,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,324,0.324,3.24,2.9160000000000004,high,FAT_SANDWICH
